sector,mae_t+1,rmse_t+1,mape_t+1,r2_t+1,n_backtest_steps
NIFTY 50_cleaned,139.8216877196458,205.36286463167903,1.5373860316400079,0.9988154188432541,4535
NIFTY AUTO_cleaned,144.16520556694456,224.84275211557548,2.0439723633674296,0.9984937920611977,4535
NIFTY BANK_cleaned,343.9586742437293,491.4637429557461,1.9671937022474435,0.9987665594143715,4535
NIFTY CHEMICALS_cleaned,172.7959961411246,303.82833890873525,2.2857457097343783,0.9988568236542736,4535
NIFTY CONSUMER DURABLES_cleaned,225.86606926164552,370.2100427892913,2.3225584969777033,0.9988751267093048,4535
NIFTY FINANCIAL SERVICES_cleaned,163.03102760646362,238.31581699364358,2.109393496980364,0.9987020115854344,4535
NIFTY FMCG_cleaned,379.4611446561466,548.8666167545379,1.944339545346065,0.9987849130126173,4535
NIFTY IT_cleaned,266.8891176913934,438.7724727002527,1.9210270446771756,0.9985054936196898,4535
NIFTY MEDIA_cleaned,28.655107579072492,39.65940640179223,1.5251073497393048,0.9951758824223176,4535
NIFTY METAL_cleaned,60.17675034884923,91.44724742663969,1.5844773318484484,0.9979430568866376,4535
NIFTY PHARMA_cleaned,120.54147463306231,175.84972156716685,1.4534088851189615,0.9988103333476832,4535
NIFTY PRIVATE BANK_cleaned,178.3486150814843,261.21678456455555,2.1699126154870108,0.9987571456446743,4535
NIFTY PSU BANK_cleaned,54.41696527335136,77.07858702950402,1.7026163240619163,0.9965648743276936,4535
NIFTY REALTY_cleaned,9.693259285284377,19.898559212464733,2.1106955295466165,0.9957039521726112,4535
