sector,MAE_t+1,RMSE_t+1,MAPE_t+1,SMAPE_t+1,R2_t+1,DirectionalAcc,n_backtest_steps
NIFTY 50_cleaned,106.9506240978341,153.36837809332133,1.2263632513367646,1.2168918897476415,0.9993423581035067,0.5301072914385812,4568
NIFTY AUTO_cleaned,292.3379708568353,390.3237111710197,3.4993975539869293,3.4340989787669245,0.9954855598360817,0.5281366323626012,4568
NIFTY BANK_cleaned,304.99217630843987,421.2225791439462,1.8751226471442082,1.845267053573551,0.999099748024294,0.5187212612218086,4568
NIFTY CHEMICALS_cleaned,132.00834614768755,228.65691064097248,1.8737958173503027,1.842411816954034,0.9993536637228196,0.5495949200788264,4568
NIFTY CONSUMER DURABLES_cleaned,214.75757446930405,322.22657209268453,2.647325741421064,2.707903743119215,0.9991497315232454,0.5314210641559011,4568
NIFTY FINANCIAL SERVICES_cleaned,128.2087993583078,184.68167414910337,1.7416578981843223,1.7172437951093114,0.999225099573383,0.527260783884388,4568
NIFTY FMCG_cleaned,385.0525477335541,489.3076466807497,1.9320336580620874,1.9051829682017514,0.9990399709294716,0.5016422158966499,4568
NIFTY IT_cleaned,265.1749507656866,383.1906003502006,2.4876343222025787,2.4299944023786546,0.9988603391426113,0.4990146704620101,4568
NIFTY MEDIA_cleaned,27.587150142956965,37.68657039165213,1.4615801129654384,1.4641077566892151,0.9956140871012356,0.5301072914385812,4568
NIFTY METAL_cleaned,66.38842275642892,97.81001292781497,1.773215327387471,1.7551295876868145,0.9976536902405593,0.5244142763301949,4568
NIFTY PHARMA_cleaned,135.25774554838853,236.65842742221528,1.2802014205030927,1.2867470781135486,0.9978635867427178,0.5178454127435954,4568
NIFTY PRIVATE BANK_cleaned,154.61907726601834,218.34318923355914,1.690178900329215,1.6899793860691201,0.9991371726090466,0.5195971097000219,4568
NIFTY PSU BANK_cleaned,78.13005516573347,99.56406916066743,2.546178315507579,2.5036378599902362,0.9943221815648879,0.5241953142106416,4568
NIFTY REALTY_cleaned,13.936091912264585,19.600689092419827,3.612387107470506,3.689130708586162,0.9958468223368893,0.5379899277425005,4568
