Sector,Annualized Volatility,GARCH Annualized Volatility
NIFTY 50,0.20873740700750096,0.18458277168411988
NIFTY AUTO,0.22811478252601336,0.21724774260304394
NIFTY BANK,0.2781364637337011,0.25028219204784785
NIFTY CHEMICALS,0.21593451390470517,0.19944291217933055
NIFTY CONSUMER DURABLES,0.23420628099496632,0.21609927976835888
NIFTY FINANCIAL SERVICES,0.2699507987112735,0.24013278515666067
NIFTY FMCG,0.1851393650761018,0.17436884686233006
NIFTY IT,0.24515958243506838,0.22992082278710493
NIFTY MEDIA,0.2799914851419607,0.2699401068891171
NIFTY METAL,0.32074358188375646,0.30228139754664046
NIFTY PHARMA,0.19530981519166324,0.18773135650345513
NIFTY PRIVATE BANK,0.285891394349006,0.2519047779656653
NIFTY PSU BANK,0.344493239090348,0.3382254356523202
NIFTY REALTY,0.39251807734620625,0.36421159071009307
